"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT04004975","Clinical Study on the Treatment of Recurrent Glioblastoma With Anlotinib",,"Recruiting","No Results Available","Recurrent Glioblastoma","Drug: Anlotinib","Progress free survival (PFS)|Overall Survival (OS)|Objective Response Rate (ORR)|Disease Control Rate (DCR)|Quality of Life score (QoL)","Shandong Cancer Hospital and Institute","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 1|Phase 2","50","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ShandongCHI006","June 25, 2019","July 25, 2020","July 25, 2021","July 2, 2019",,"July 2, 2019","Shandong cancer hospital, Jinan, Shandong, China",,"https://ClinicalTrials.gov/show/NCT04004975"
2,"NCT03430791","Trial of Combination TTF(Optune), Nivolumab Plus/Minus Ipilimumab for Recurrent Glioblastoma",,"Recruiting","No Results Available","Recurrent Glioblastoma","Drug: Nivolumab 240 mg IV|Drug: Nivolumab 3 mg/kg|Drug: Ipilimumab 1 mg/kg|Device: NovoTTF200A (Optune)","Objective response rate according to modified iRANO criteria","Baptist Health South Florida|Bristol-Myers Squibb|NovoCure Ltd.","All","18 Years and older   (Adult, Older Adult)","Phase 2","60","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2017-ODI-002","November 5, 2018","August 2020","August 2021","February 13, 2018",,"November 19, 2019","Miami Cancer Institute at Baptist Health, Inc., Miami, Florida, United States",,"https://ClinicalTrials.gov/show/NCT03430791"
3,"NCT04051606","Regorafenib in Bevacizumab Refractory Recurrent Glioblastoma",,"Recruiting","No Results Available","Recurrent Glioblastoma","Drug: Regorafenib","Median overall survival (OS)|Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]|Objective response rate (ORR)|Progression free survival at 6 months (PFS-6).|Median time to progression (TTP)","Case Comprehensive Cancer Center","All","18 Years and older   (Adult, Older Adult)","Phase 2","22","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CASE7318","July 31, 2019","December 2020","December 2021","August 9, 2019",,"February 6, 2020","Cleveland Clinic Taussig Cancer Institute, Case Comprehensive Cancer Center, Cleveland, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT04051606"
4,"NCT03856099","TTAC-0001 Phase II Trial With Recurrent Glioblastoma Progressed on Bevacizumab",,"Recruiting","No Results Available","Recurrent Glioblastoma","Drug: TTAC-0001","Adverse Events|Progression free survival rate at 4 months|Progression free survival rate at 6 months|Progression free survival|Overall survival|Objective response rate|Disease control rate","PharmAbcine","All","18 Years and older   (Adult, Older Adult)","Phase 2","36","Industry","Interventional","Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PMC_TTAC-0001_03","November 13, 2019","June 30, 2021","December 30, 2021","February 27, 2019",,"April 14, 2020","Stanford Avanced Medical Center, Stanford, California, United States|Florida Hospital Cancer Institute & Florida Hospital Orlando, Orlando, Florida, United States|Austin Hospital, Heidelberg, Victoria, Australia",,"https://ClinicalTrials.gov/show/NCT03856099"
5,"NCT03632135","Standard Chemotherapy vs. Chemotherapy Guided by Cancer Stem Cell Test in Recurrent Glioblastoma","CSCRGBM","Recruiting","No Results Available","Recurrent Glioblastoma","Diagnostic Test: ChemoID assay|Drug: Chemotherapy","Median Overall Survival (OS)|Overall Survival at 6, 9, and 12 months (OS6mo, OS9mo, OS12mo)|Median Progression Free Survival (PFS)|Progression Free Survival at 4, 6, 9, and 12 months (PFS4mo, PFS6mo, PFS9mo, PFS12mo)|Objective Tumor Response|Quality of life questionnaire","Cordgenics, LLC","All","18 Years and older   (Adult, Older Adult)","Phase 3","300","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Diagnostic","CG01GBM","May 15, 2018","June 30, 2021","January 31, 2022","August 15, 2018",,"November 19, 2019","Louisiana State University Health Sciences Center, New Orleans, Louisiana, United States|Maine Medical Center Research Institute, Scarborough, Maine, United States|University of Mississippi Medical Center, Jackson, Mississippi, United States|Garden State Neurology and Neuro-oncology, West Long Branch, New Jersey, United States|University of Cincinnati Cancer Institute, Cincinnati, Ohio, United States|Toledo University, Toledo, Ohio, United States|Providence Cancer Center Oncology, Portland, Oregon, United States|St. Luke's University Health Network, Bethlehem, Pennsylvania, United States|The Penn State Univeristy College of Medicine, Hershey, Pennsylvania, United States|Thomas Jefefrson University Hospitals, Philadelphia, Pennsylvania, United States|Allegheny Health Network, Pittsburgh, Pennsylvania, United States|Charleston Area Medical Center, Charleston, West Virginia, United States",,"https://ClinicalTrials.gov/show/NCT03632135"
6,"NCT01464177","Hypofractionated Stereotactic Radiotherapy in Recurrent Glioblastoma Multiforme","GBM Hypo RT","Recruiting","No Results Available","Recurrent Glioblastoma Multiforme","Radiation: Stereotactic hypofractionated RT 5x5Gy|Radiation: Stereotactic hypofractionated RT 5x7Gy","progression free survival|overall survival|local control|toxicity|quality of life","Andre Tsin Chih Chen|University of Sao Paulo","All","18 Years and older   (Adult, Older Adult)","Phase 2","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","RT-01/2011","October 2011","October 2020","October 2021","November 3, 2011",,"January 13, 2020","Hospital das Clinicas da Faculdade de Medicina da USP, Sao Paulo, SP, Brazil",,"https://ClinicalTrials.gov/show/NCT01464177"
7,"NCT03115333","DSC-MRI in Measuring Relative Cerebral Blood Volume for Early Response to Bevacizumab in Patients With Recurrent Glioblastoma",,"Recruiting","No Results Available","Gliosarcoma|Recurrent Glioblastoma","Diagnostic Test: Dynamic Susceptibility Contrast-Enhanced Magnetic Resonance Imaging","Change in rCBV within enhancing tumor|OS|CBF|Change in CBF|PFS|rCBV","ECOG-ACRIN Cancer Research Group|National Cancer Institute (NCI)|Eastern Cooperative Oncology Group","All","18 Years and older   (Adult, Older Adult)","Phase 2","165","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","EAF151|NCI-2016-01357|U10CA180820","April 14, 2017","May 7, 2022","May 7, 2027","April 14, 2017",,"February 12, 2020","Saint Joseph's Hospital and Medical Center, Phoenix, Arizona, United States|Mayo Clinic Hospital, Phoenix, Arizona, United States|Mayo Clinic in Arizona, Scottsdale, Arizona, United States|Eden Hospital Medical Center, Castro Valley, California, United States|Loma Linda University Medical Center, Loma Linda, California, United States|USC / Norris Comprehensive Cancer Center, Los Angeles, California, United States|UC Irvine Health/Chao Family Comprehensive Cancer Center, Orange, California, United States|Boca Raton Regional Hospital, Boca Raton, Florida, United States|Baptist MD Anderson Cancer Center, Jacksonville, Florida, United States|Mayo Clinic in Florida, Jacksonville, Florida, United States|Moffitt Cancer Center - McKinley Campus, Tampa, Florida, United States|Moffitt Cancer Center, Tampa, Florida, United States|Emory University Hospital/Winship Cancer Institute, Atlanta, Georgia, United States|Northside Hospital, Atlanta, Georgia, United States|Northside Hospital-Forsyth, Cumming, Georgia, United States|Indiana University/Melvin and Bren Simon Cancer Center, Indianapolis, Indiana, United States|Baptist Health Lexington, Lexington, Kentucky, United States|Henry Ford Hospital, Detroit, Michigan, United States|Minnesota Oncology Hematology PA-Maplewood, Maplewood, Minnesota, United States|Mayo Clinic, Rochester, Minnesota, United States|Regions Hospital, Saint Paul, Minnesota, United States|United Hospital, Saint Paul, Minnesota, United States|Minnesota Oncology Hematology PA-Woodbury, Woodbury, Minnesota, United States|Siteman Cancer Center at West County Hospital, Creve Coeur, Missouri, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|Siteman Cancer Center-South County, Saint Louis, Missouri, United States|Siteman Cancer Center at Saint Peters Hospital, Saint Peters, Missouri, United States|University of New Mexico Cancer Center, Albuquerque, New Mexico, United States|Memorial Sloan Kettering Westchester, Harrison, New York, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|UNC Lineberger Comprehensive Cancer Center, Chapel Hill, North Carolina, United States|Carolinas Medical Center/Levine Cancer Institute, Charlotte, North Carolina, United States|Duke University Medical Center, Durham, North Carolina, United States|East Carolina University, Greenville, North Carolina, United States|Wake Forest University Health Sciences, Winston-Salem, North Carolina, United States|University of Cincinnati/Barrett Cancer Center, Cincinnati, Ohio, United States|Oregon Health and Science University, Portland, Oregon, United States|Rhode Island Hospital, Providence, Rhode Island, United States|UT Southwestern/Simmons Cancer Center-Dallas, Dallas, Texas, United States|University Hospital, San Antonio, Texas, United States|University of Texas Health Science Center at San Antonio, San Antonio, Texas, United States|Community Memorial Hospital, Menomonee Falls, Wisconsin, United States|Aurora Saint Luke's Medical Center, Milwaukee, Wisconsin, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States|ProHealth D N Greenwald Center, Mukwonago, Wisconsin, United States|ProHealth Oconomowoc Memorial Hospital, Oconomowoc, Wisconsin, United States|ProHealth Waukesha Memorial Hospital, Waukesha, Wisconsin, United States|UW Cancer Center at ProHealth Care, Waukesha, Wisconsin, United States|The Alyce and Elmore Kraemer Cancer Care Center, West Bend, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT03115333"
8,"NCT04201873","Pembrolizumab and a Vaccine (ATL-DC) for the Treatment of Surgically Accessible Recurrent Glioblastoma",,"Recruiting","No Results Available","Recurrent Glioblastoma","Biological: Dendritic Cell Tumor Cell Lysate Vaccine|Biological: Pembrolizumab|Other: Placebo Administration|Drug: Poly ICLC","Cell cycle-related signature|Expansion of T cell receptor (TCR) clones|Incidence of adverse events (AEs)|6 month progression-free survival (PFS6)|Overall survival (OS)","Jonsson Comprehensive Cancer Center|National Cancer Institute (NCI)|Merck Sharp & Dohme Corp.|Phase One Foundation","All","18 Years and older   (Adult, Older Adult)","Phase 1","40","Other|NIH|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","19-001090|NCI-2019-07994|P30CA016042","January 8, 2020","August 1, 2024","August 1, 2025","December 17, 2019",,"February 17, 2020","UCLA / Jonsson Comprehensive Cancer Center, Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT04201873"
9,"NCT01849146","Adavosertib, Radiation Therapy, and Temozolomide in Treating Patients With Newly Diagnosed or Recurrent Glioblastoma",,"Recruiting","No Results Available","Glioblastoma|Recurrent Glioblastoma","Drug: Adavosertib|Radiation: Radiation Therapy|Drug: Temozolomide","Maximum tolerated dose of adavosertib with 6 weeks of radiotherapy and temozolomide (Arm I)|Maximum tolerated dose of adavosertib with adjuvant temozolomide (Arm II)|Incidence of toxicities|Overall survival|Progression-free survival","National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 1","114","NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NCI-2013-00858|ABTC 1202|ABTC-1202|UM1CA137443","August 19, 2013","September 28, 2020",,"May 8, 2013",,"May 5, 2020","University of Alabama at Birmingham Cancer Center, Birmingham, Alabama, United States|UCLA / Jonsson Comprehensive Cancer Center, Los Angeles, California, United States|UCSF Medical Center-Parnassus, San Francisco, California, United States|Johns Hopkins University/Sidney Kimmel Cancer Center, Baltimore, Maryland, United States|Massachusetts General Hospital Cancer Center, Boston, Massachusetts, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Henry Ford Hospital, Detroit, Michigan, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Wake Forest University Health Sciences, Winston-Salem, North Carolina, United States|Cleveland Clinic Foundation, Cleveland, Ohio, United States|University of Pennsylvania/Abramson Cancer Center, Philadelphia, Pennsylvania, United States|University of Pittsburgh Cancer Institute (UPCI), Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT01849146"
10,"NCT04205357","Sulfasalazine and Stereotactic Radiosurgery for Recurrent Glioblastoma","SAS-GKRS","Recruiting","No Results Available","Glioma|Glioblastoma|Recurrent Glioblastoma","Drug: Sulfasalazine","Toxicity (Common Terminology Criteria for Adverse Event v 4.0)|Intratumoral Glutathione production|Presence of radiation necrosis|Progression free survival|Overall survival|Quality of life (Functional Assessment of Cancer Therapy-Brain)|Karnofsky performance score (KPS)|Steroid use in mg over time","Haukeland University Hospital|Norwegian Cancer Society|Northwell Health|Weill Medical College of Cornell University|University of Bergen|Helse Stavanger HF","All","18 Years and older   (Adult, Older Adult)","Phase 1","24","Other","Interventional","Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2019/6834","March 1, 2020","December 31, 2022","December 31, 2022","December 19, 2019",,"March 11, 2020","Haukeland University Hospital, Bergen, Norway",,"https://ClinicalTrials.gov/show/NCT04205357"
